Year,Gender,Age,board_m
2014,f,<20,79
2014,f,20-29,951
2014,f,30-39,3298
2014,f,40-49,7995
2014,f,50-59,7116
2014,f,60-69,4879
2014,f,>70,2586
2014,f,unknown,1955
2014,f,total,28819
2014,m,<20,179
2014,m,20-29,2436
2014,m,30-39,11206
2014,m,40-49,30289
2014,m,50-59,31471
2014,m,60-69,21866
2014,m,>70,9493
2014,m,unknown,13329
2014,m,total,120180
2014,b,<20,258
2014,b,20-29,3387
2014,b,30-39,14504
2014,b,40-49,38284
2014,b,50-59,38587
2014,b,60-69,26745
2014,b,>70,12079
2014,b,unknown,15289
2014,b,total,149004
2015,f,<20,77
2015,f,20-29,978
2015,f,30-39,3045
2015,f,40-49,7696
2015,f,50-59,7422
2015,f,60-69,4783
2015,f,>70,2837
2015,f,unknown,2020
2015,f,total,28813
2015,m,<20,162
2015,m,20-29,2493
2015,m,30-39,10316
2015,m,40-49,29040
2015,m,50-59,32377
2015,m,60-69,21572
2015,m,>70,10537
2015,m,unknown,13474
2015,m,total,119886
2015,b,<20,239
2015,b,20-29,3471
2015,b,30-39,13361
2015,b,40-49,36736
2015,b,50-59,39799
2015,b,60-69,26355
2015,b,>70,13374
2015,b,unknown,15499
2015,b,total,148704
2016,f,<20,88
2016,f,20-29,1017
2016,f,30-39,2916
2016,f,40-49,7387
2016,f,50-59,7733
2016,f,60-69,4683
2016,f,>70,3103
2016,f,unknown,2124
2016,f,total,29015
2016,m,<20,170
2016,m,20-29,2586
2016,m,30-39,9938
2016,m,40-49,27931
2016,m,50-59,33323
2016,m,60-69,21334
2016,m,>70,11572
2016,m,unknown,13831
2016,m,total,120603
2016,b,<20,258
2016,b,20-29,3604
2016,b,30-39,12854
2016,b,40-49,35318
2016,b,50-59,41059
2016,b,60-69,26017
2016,b,>70,14677
2016,b,unknown,15963
2016,b,total,149632
2017,f,<20,91
2017,f,20-29,1060
2017,f,30-39,2773
2017,f,40-49,7101
2017,f,50-59,8026
2017,f,60-69,4622
2017,f,>70,3403
2017,f,unknown,2234
2017,f,total,29251
2017,m,<20,149
2017,m,20-29,2687
2017,m,30-39,9682
2017,m,40-49,26962
2017,m,50-59,34462
2017,m,60-69,21135
2017,m,>70,12452
2017,m,unknown,14010
2017,m,total,121458
2017,b,<20,240
2017,b,20-29,3747
2017,b,30-39,12455
2017,b,40-49,34063
2017,b,50-59,42488
2017,b,60-69,25757
2017,b,>70,15855
2017,b,unknown,16249
2017,b,total,150714
2018,f,<20,75
2018,f,20-29,1045
2018,f,30-39,2743
2018,f,40-49,6879
2018,f,50-59,8251
2018,f,60-69,4551
2018,f,>70,3575
2018,f,unknown,2286
2018,f,total,29371
2018,m,<20,154
2018,m,20-29,2687
2018,m,30-39,9302
2018,m,40-49,26264
2018,m,50-59,34795
2018,m,60-69,21140
2018,m,>70,13189
2018,m,unknown,14198
2018,m,total,121646
2018,b,<20,229
2018,b,20-29,3732
2018,b,30-39,12045
2018,b,40-49,33143
2018,b,50-59,43046
2018,b,60-69,25691
2018,b,>70,16764
2018,b,unknown,16489
2018,b,total,151022
2019,f,<20,96
2019,f,20-29,1176
2019,f,30-39,2920
2019,f,40-49,7193
2019,f,50-59,9184
2019,f,60-69,4777
2019,f,>70,3946
2019,f,unknown,2887
2019,f,total,32136
2019,m,<20,150
2019,m,20-29,2826
2019,m,30-39,9774
2019,m,40-49,27133
2019,m,50-59,38326
2019,m,60-69,23920
2019,m,>70,15006
2019,m,unknown,16928
2019,m,total,133984
2019,b,<20,246
2019,b,20-29,4002
2019,b,30-39,12694
2019,b,40-49,34326
2019,b,50-59,47510
2019,b,60-69,28697
2019,b,>70,18952
2019,b,unknown,19845
2019,b,total,166150
