Bestyrelsesmedlemmer og direktører efter type, køn, alder og tid;;;;;;;;
;;;;;;;;
 ; ; ;2014;2015;2016;2017;2018;2019
Bestyrelse;;;;;;;;
 ;Mænd og kvinder i alt;;;;;;;
 ; ;I alt;149004;148704;149632;150714;151022;166150
 ; ;Under 20 år;258;239;258;240;229;246
 ; ;20-29 år;3387;3471;3604;3747;3732;4002
 ; ;30-39 år;14504;13361;12854;12455;12045;12694
 ; ;40-49 år;38284;36736;35318;34063;33143;34326
 ; ;50-59 år;38587;39799;41059;42488;43046;47510
 ; ;60-69 år;26745;26355;26017;25757;25691;28697
 ; ;70 år og derover;12079;13374;14677;15855;16764;18952
 ; ;Ukendt alder;15289;15499;15963;16249;16489;19845
 ;Mænd;;;;;;;
 ; ;I alt;120180;119886;120603;121458;121646;133984
 ; ;Under 20 år;179;162;170;149;154;150
 ; ;20-29 år;2436;2493;2586;2687;2687;2826
 ; ;30-39 år;11206;10316;9938;9682;9302;9774
 ; ;40-49 år;30289;29040;27931;26962;26264;27133
 ; ;50-59 år;31471;32377;33323;34462;34795;38326
 ; ;60-69 år;21866;21572;21334;21135;21140;23920
 ; ;70 år og derover;9493;10537;11572;12452;13189;15006
 ; ;Ukendt alder;13329;13474;13831;14010;14198;16928
 ;Kvinder;;;;;;;
 ; ;I alt;28819;28813;29015;29251;29371;32136
 ; ;Under 20 år;79;77;88;91;75;96
 ; ;20-29 år;951;978;1017;1060;1045;1176
 ; ;30-39 år;3298;3045;2916;2773;2743;2920
 ; ;40-49 år;7995;7696;7387;7101;6879;7193
 ; ;50-59 år;7116;7422;7733;8026;8251;9184
 ; ;60-69 år;4879;4783;4683;4622;4551;4777
 ; ;70 år og derover;2586;2837;3103;3403;3575;3946
 ; ;Ukendt alder;1955;2020;2124;2234;2286;2887
;;;;;;;;
Ligestillingsindikatorer baseret på denne tabel kan hentes på ;;;;;;;;
http://statistikbanken.dk/ligedi6 ;;;;;;;;
