Year,Gender,Age,poptot
2014,f,50-59,372341
2014,m,50-59,375003
2014,b,50-59,747344
2014,f,40-49,399720
2014,m,40-49,405839
2014,b,40-49,805559
2015,f,50-59,379310
2015,m,50-59,382335
2015,b,50-59,761645
2015,f,40-49,397012
2015,m,40-49,402652
2015,b,40-49,799654
2016,f,50-59,386954
2016,m,50-59,390775
2016,b,50-59,777729
2016,f,40-49,391268
2016,m,40-49,395971
2016,b,40-49,787239
2017,f,50-59,393364
2017,m,50-59,397546
2017,b,50-59,790910
2017,f,40-49,384385
2017,m,40-49,387943
2017,b,40-49,772328
2018,f,50-59,396586
2018,m,50-59,400945
2018,b,50-59,797531
2018,f,40-49,381120
2018,m,40-49,383912
2018,b,40-49,765032
2019,f,50-59,397882
2019,m,50-59,402463
2019,b,50-59,800345
2019,f,40-49,378389
2019,m,40-49,380147
2019,b,40-49,758536
